상권_코드,행정동_코드,자치구_코드,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,주중_매출_금액,주말_매출_금액,상권_변화_지표,총_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,읍면동명,계,경쟁업체수,지하철_총승객수,임대료
3110037,11110710,11110,CS100010,커피-음료,6635234.0,6553263.0,81971.0,HL,625.0,61.0,179.0,133.0,숭인제2동,10237.0,16.0,43409.12321359598,73.52000000000001
3110037,11110710,11110,CS200028,미용실,20064931.0,11232685.0,8832246.0,HL,625.0,61.0,179.0,133.0,숭인제2동,10237.0,19.0,43409.12321359598,73.52000000000001
3110037,11110710,11110,CS200034,여관,48884848.0,45581818.0,3303030.0,HL,625.0,61.0,179.0,133.0,숭인제2동,10237.0,1.0,43409.12321359598,73.52000000000001
3110037,11110710,11110,CS300002,편의점,353490057.0,265792307.0,87697750.0,HL,625.0,61.0,179.0,133.0,숭인제2동,10237.0,7.0,43409.12321359598,73.52000000000001
3110037,11110710,11110,CS300011,일반의류,68695299.0,66942087.0,1753212.0,HL,625.0,61.0,179.0,133.0,숭인제2동,10237.0,11.0,43409.12321359598,73.52000000000001
3110038,11140520,11140,CS100001,한식음식점,1395582934.0,1176507484.0,219075450.0,HH,2948.0,853.0,932.0,649.0,소공동,2218.0,10.139166621628926,43409.12321359598,79.42222222222222
3110038,11140520,11140,CS100003,일식음식점,231586946.0,174369864.0,57217082.0,HH,2948.0,853.0,932.0,649.0,소공동,2218.0,1.0,43409.12321359598,79.42222222222222
3110038,11140520,11140,CS100008,분식전문점,573644464.0,439515365.0,134129099.0,HH,2948.0,853.0,932.0,649.0,소공동,2218.0,2.0,43409.12321359598,79.42222222222222
3110038,11140520,11140,CS100010,커피-음료,559918964.0,508066532.0,51852432.0,HH,2948.0,853.0,932.0,649.0,소공동,2218.0,9.0,43409.12321359598,79.42222222222222
3110038,11140520,11140,CS300001,슈퍼마켓,150000000.0,135886804.0,14113196.0,HH,2948.0,853.0,932.0,649.0,소공동,2218.0,10.139166621628926,43409.12321359598,79.42222222222222
3110038,11140520,11140,CS300002,편의점,321995155.0,265160308.0,56834847.0,HH,2948.0,853.0,932.0,649.0,소공동,2218.0,1.0,43409.12321359598,79.42222222222222
3110039,11140540,11140,CS100001,한식음식점,231059973.0,209441098.0,21618875.0,HH,701.0,132.0,247.0,193.0,회현동,4044.0,33.0,43409.12321359598,79.42222222222222
